"GROUP","a","a_lo","a_hi","b","b_lo","b_hi","n_used","n_raw"
"ALL",0.000454920078265081,0.000447706815983156,0.000462249557568705,2.95562932405296,2.95150837607345,2.95975027203247,19575,19757
"SEX_F",0.000631723881238221,0.000614622289108289,0.000649301317571269,2.85176623409854,2.84433299385388,2.85919947434319,7772,7851
"SEX_M",0.000454029781702168,0.000445321468213481,0.000462908387281469,2.96493173820931,2.96008541815284,2.96977805826577,11793,11906
