"Index","MASE","MASE.adj","MAE.PR","MAE.base","n.eval"
"CPUE",1.06057586530538,0.832691081070653,0.120638841305408,0.11374843163216,2
"BESS",1.24639721130963,0.869979631652464,0.112143415547015,0.0899740584537911,2
"joint",1.14264388165593,1.14264388165593,0.116391128426212,0.101861245042975,4
