YEAR;MONTH;SEX;CARAPACE;AREA;SHELL
2016;8;M;25;3101;
2016;8;M;40;3101;
2016;8;M;33;3101;
2016;8;F;23;3101;
2016;8;M;25;3101;
2016;8;F;20;3101;
2016;8;F;21;3101;
2016;8;M;17;3101;
2016;8;M;24;3101;
2016;8;M;25;3101;
2016;8;M;18;3101;
2016;8;M;31;3101;
2016;8;F;22;3101;
2016;8;M;34;3101;
2016;8;M;21;3101;
2016;8;M;32;3101;
2016;8;M;28;3101;
2016;8;M;26;3101;
2016;8;M;24;3101;
2016;8;M;24;3101;
2016;8;M;27;3101;
2016;8;M;29;3101;
2016;8;M;17;3101;
2016;8;M;19;3101;
2016;8;M;18;3101;
2016;8;F;20;3101;
2016;8;M;18;3101;
2016;8;F;42;3101;
2016;8;F;33;3101;
2016;8;M;41;3101;
2016;8;M;34;3101;
2016;8;M;41;3101;
2016;8;F;36;3101;
2016;8;F;33;3101;
2016;8;M;33;3101;
2016;8;M;28;3101;
2016;8;M;27;3101;
2016;8;F;33;3101;
2016;8;F;30;3101;
2016;8;F;42;3101;
2016;8;M;47;3101;
2016;8;F;33;3101;
2016;8;F;31;3101;
2016;8;F;36;3101;
2016;8;M;39;3101;
2016;8;M;35;3101;
2016;8;M;32;3101;
2016;8;M;31;3101;
2016;8;M;33;3101;
2016;8;M;32;3101;
2016;8;M;34;3101;
2016;8;M;37;3101;
2016;8;F;26;3101;
2016;8;M;26;3101;
2016;8;M;32;3101;
2016;8;F;34;3101;
2016;8;M;41;3101;
2016;8;F;33;3101;
2016;8;F;29;3101;
2016;8;F;33;3101;
2016;8;M;33;3101;
2016;8;M;27;3101;
2016;8;M;32;3101;
2016;8;M;27;3101;
2016;8;M;30;3101;
2016;8;M;35;3101;
2016;8;F;35;3101;
2016;8;F;27;3101;
2016;8;F;30;3101;
2016;8;M;27;3101;
2016;8;M;28;3101;
2016;8;F;30;3101;
2016;8;F;31;3101;
2016;8;F;31;3101;
2016;8;F;31;3101;
2016;8;F;27;3101;
2016;8;F;32;3101;
