"Parameter","Estimate","Lower_CI","Upper_CI"
"r",0.289448916723608,0.376843579220938,0.490625720101251
"K",153.817726956729,189.565644703204,233.621536104551
"MSY",16.2532696371994,17.8423486395066,19.5867915859271
"Bmsy",76.8594062591311,94.7336035887147,116.764571647176
"Fmsy",0.144673662702552,0.188342381920963,0.245192194384363
"B_current",102.968560133324,103.774044138298,104.570157576337
"F_current",0.0185193436860426,0.0189495654033802,0.0193819639818942
"B/Bmsy",1.16089076598652,1.17045335544806,1.1799328007098
"F/Fmsy",0.101715581502274,0.104238491123152,0.106771159837477
